case_id,asset_id,display_key,lens_id,title,publication_date,earliest_priority_date,applicants,owners,inventors,jurisdiction,kind,legal_status,cpc_classifications,ipcr_classifications,url,match_score,ri_relevance_reason,source_type,mocked,confidence_0_1
auto_hanmi_pharm_cido_complexa_composi_compreendendo_graxo_inibid,asset_3ac3cc1e4b41,BR 112013023819 A2,060-894-975-204-938,composição oral complexa compreendendo éster de ácido ômega-3 graxo e inibidor de hmg-coa redutase,2016-12-13,2011-03-23,HANMI PHARM IND CO LTD,,YOON EUN JIN;;IM HO TAEK;;PARK JAE HYUN;;WOO JONG SOO;;KIM YONG IL;;SHIN YOON SUB,BR,A2,DISCONTINUED,A61K9/4808;;A61K9/4891;;A61K31/202;;A61K31/505;;A61P3/00;;A61P3/06;;A61P3/10;;A61P7/02;;A61P9/00;;A61P9/12;;A61P43/00;;A61K9/28;;A61K9/48;;A61K31/20;;A61K47/50;;A61K31/23;;A61K9/4808;;A61K9/4891;;A61K31/202;;A61K31/505,A61K9/28;;A61K9/48;;A61K31/20;;A61K47/48,https://lens.org/060-894-975-204-938,10,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hanmi_pharmaceutical_acid_complex_comprising_ester_fatty_inhibitor_om,asset_dec4fb42c167,ZA 201307871 B,078-816-282-823-648,ORAL COMPLEX COMPOSITION COMPRISING OMEGA-3 FATTY ACID ESTER AND HMG-COA REDUCTASE INHIBITOR,2015-01-28,2011-03-23,HANMI PHARMACEUTICAL CO LTD,,KIM YONG II;;YOON EUN JIN;;IM HO TAEK;;SHIN YOON SUB;;PARK JAE HYUN;;WOO JONG SOO,ZA,B,ACTIVE,A61K9/4808;;A61K9/4891;;A61K31/202;;A61K31/505;;A61P3/00;;A61P3/06;;A61P3/10;;A61P7/02;;A61P9/00;;A61P9/12;;A61P43/00;;A61K9/28;;A61K9/48;;A61K31/20;;A61K47/50;;A61K31/23;;A61K9/4808;;A61K9/4891;;A61K31/202;;A61K31/505,A61K/,https://lens.org/078-816-282-823-648,9,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hanmi_pharmaceutical_compounds_novel_preparation_quinolone_thereof,asset_9b3f42e70284,EP 0571400 A1,122-992-260-629-963,NOVEL QUINOLONE COMPOUNDS AND PROCESSES FOR PREPARATION THEREOF.,1993-12-01,1991-01-14,HANMI PHARMACEUTICAL CO LTD,,MOON SOON KU - MOKDONG SHINSIG;;LEE GWAN SUN - HANLA APT;;RYOO EUI SANG - BYUN-DONG;;CHANG YOUNG KIL - SAMJEON-DONG;;MOON YOUNG HO - ILDO -DONG;;KIM SANG TAE - KALHYUN-DONG;;CHUN JONG PIL TONG BAN;;KOH JOON HYUNG - JUGONG APT;;GIL YOUNG HWAN - SIHEUNG-DONG,EP,A1,DISCONTINUED,C07D487/04;;Y02P20/55,C07D487/04;;C07D519/00,https://lens.org/122-992-260-629-963,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hanmi_pharmaceutical_compounds_novel_preparation_quinolone_thereof,asset_5b8bb5412469,WO 1992/012155 A1,187-467-734-962-753,NOVEL QUINOLONE COMPOUNDS AND PROCESSES FOR PREPARATION THEREOF,1992-07-23,1991-01-14,HANMI PHARMACEUTICAL CO LTD,,MOON SOON KU;;LEE GWAN SUN;;RYOO EUI SANG;;CHANG YOUNG KIL;;MOON YOUNG HO;;KIM SANG TAE;;CHUN JONG PIL;;KOH JOON HYUNG;;GIL YOUNG HWAN,WO,A1,PENDING,C07D487/04;;Y02P20/55,C07D487/04;;C07D519/00,https://lens.org/187-467-734-962-753,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hanmi_science_coli_enterotoxina_expressando_heter_loga_microor,asset_58f96c94d731,BR PI9913698 B1,187-891-845-321-935,peptídeo sinalizador de enterotoxina ii de e. coli modificado e um microorganismo expressando uma proteína de fusão do peptídeo e uma proteína heteróloga,2016-06-21,1998-09-15,HANMI HOLDINGS CO LTD;;HANMI SCIENCE CO LTD;;HANMI PHARM IND CO LTD,"HANMI SCIENCE CO., LTD. (US) (2016-06-07);;HANMI HOLDINGS CO., LTD. (KR) (2012-01-17)",LEE GWAN-SUN;;SHIN HOON;;CHOI JAY DO;;CHOI KI DOO;;KWON SE-CHANG;;JUNG SUNG-YOUB,BR,B1,EXPIRED,C12N15/70;;C07K14/245;;C07K14/61;;C07K2319/02;;C07K2319/034;;C07K2319/75;;C12N15/625;;Y02A50/30;;C12N15/11;;C12N15/62;;C12N15/70;;C07K14/245;;C07K14/61;;C07K2319/02;;C07K2319/034;;C07K2319/75;;C12N15/625,C07K14/245;;C12N15/09;;C07K14/61;;C07K19/00;;C12N1/21;;C12N15/31;;C12N15/62;;C12N15/70;;C12P21/02;;C12R1/19,https://lens.org/187-891-845-321-935,12,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_haralambidis_cosmo_complex_electrical_peridontal_stimulation_surrou,asset_f43d93a36846,WO 2016/179363 A1,085-378-791-991-101,DEVICE FOR ELECTRICAL STIMULATION OF PERIDONTAL COMPLEX AND SURROUNDING TISSUE,2016-11-10,2015-05-05,HARALAMBIDIS COSMO,,HARALAMBIDIS COSMO,WO,A1,PENDING,A61N1/0548;;A61C19/06;;A61N1/0472;;A61N1/36021;;A61N1/0548;;A61C19/06;;A61N1/0472;;A61N1/36021,A61N1/36;;A61C19/06,https://lens.org/085-378-791-991-101,6,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_haralambidis_cosmo_components_orthodontic_retention,asset_9c8f52add611,WO 2016/183457 A1,081-696-527-242-521,"ORTHODONTIC RETENTION COMPONENTS, KIT AND SYSTEM",2016-11-17,2015-05-14,HARALAMBIDIS COSMO,,HARALAMBIDIS COSMO,WO,A1,PENDING,A61C5/007;;A61C7/145;;A61C7/22;;A61C7/08;;A61C5/007;;A61C7/006;;A61C7/145;;A61C7/22;;A61C7/28,A61C7/00;;A61C7/14,https://lens.org/081-696-527-242-521,3,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_harvey_arthur_anatomical_configuration_connection_forming_like,asset_2b5251ed5305,WO 1989/009573 A1,009-155-050-487-392,METHOD OF FORMING AN ANATOMICAL OCCLUSAL SURFACE CONFIGURATION ON A TOOTH-LIKE MEMBER AND STAMP FOR USE IN CONNECTION THEREWITH,1989-10-19,1988-04-14,HARVEY ARTHUR E SR;;HARVEY THOMAS J;;HARVEY DONALD H,,HARVEY ARTHUR E SR;;HARVEY THOMAS J;;HARVEY DONALD H,WO,A1,PENDING,A61C5/00;;A61C5/77;;A61C5/00;;A61C5/77,A61C5/00,https://lens.org/009-155-050-487-392,11,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hasbro_character_figure_wrestler,asset_591bcca7a698,GB 2240936 B,142-627-257-092-173,Wrestler character figure,1993-10-27,1990-02-06,HASBRO INC,,PRICE DANIEL W,GB,B,EXPIRED,A63H13/06;;A63H3/48;;A63H13/06;;A63B69/00;;A63H13/06;;A63H3/48,A63H3/48;;A63H13/06,https://lens.org/142-627-257-092-173,3,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hasbro_liran_projectiles_therefor_water_weapon,asset_6c5cc9ee0ae7,IL 304707 A,107-927-328-381-171,Water projectiles and toy weapon therefor,2023-09-01,2021-01-31,HASBRO INC;;LIRAN GANOR;;YIGAL LIVNE,,LIRAN GANOR;;YIGAL LIVNE,IL,A,PENDING,F41B9/0087;;F41A9/72;;A63H33/00;;F41B7/08;;F41B7/006;;F41B9/00;;F42B12/40;;A63H27/10;;A63H2027/1033;;B31D5/0078;;B31D2205/0017;;A63H27/10;;F42B12/40;;F41B7/006;;F41B9/00;;F41B7/08;;B31D5/0078;;B31D2205/0017;;A63H2027/1033;;F41B7/08;;A63H33/18;;A63H27/10;;F41B7/006;;F41B9/00;;F42B12/40;;A63H2027/1033;;A63H27/10;;A63H2027/1033;;F41B7/006;;F41B7/08;;F41B9/00;;F42B6/00,A63H27/10;;F42B12/40,https://lens.org/107-927-328-381-171,4,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hasbro_machine_sewing,asset_10bc0faff749,GB 2239190 A,063-537-600-054-869,TOY SEWING MACHINE,1991-06-26,1989-12-20,HASBRO INC,,SCHULTHEIS DOUGLAS A,GB,A,DISCONTINUED,A63H33/3088;;A63H33/3083;;A63H33/3088;;A63H33/3083,A63H33/30,https://lens.org/063-537-600-054-869,2,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hasbro_speelgoednaaimachine,asset_bb890b4901e0,BE 1005377 A0,139-694-847-777-860,SPEELGOEDNAAIMACHINE.,1993-07-06,1989-12-20,HASBRO INC.,,SCHULTHEIS DOUGLAS A. GREENVIEW STREET 24,BE,A0,DISCONTINUED,A63H33/3088;;A63H33/3083;;A63H33/3088;;A63H33/3083,A63H33/30,https://lens.org/139-694-847-777-860,1,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_higher_vacuum_blocking_laminating_metal_over_plastic,asset_7e1ae1f01577,WO 1994/000618 A1,161-167-412-620-920,PROCESS FOR LAMINATING METAL FOR EMI-BLOCKING OVER PLASTIC,1994-01-06,1992-06-23,HIGHER VACUUM IND CO LTD;;HAN CHULL WOO,,HAN CHULL WOO,WO,A1,PENDING,C23C14/205,C23C14/20,https://lens.org/161-167-412-620-920,5,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_higher_vacuum_exothermic_glass_manufacturing_reflexible_them_t,asset_538065f72f70,WO 1993/013239 A1,199-071-481-739-151,"EXOTHERMIC REFLEXIBLE GLASS, EXOTHERMIC TRANSPARENT GLASS AND PROCESS OF MANUFACTURING THEM",1993-07-08,1991-12-28,HIGHER VACUUM IND CO LTD,,HAN CHULL WOO,WO,A1,PENDING,C23C14/086;;C03C17/09;;C03C17/2453;;C03C2217/231;;C03C2217/251;;C03C2217/26;;C03C2217/261;;C03C2218/154;;C23C14/185,C03C17/06;;C03C17/09;;C03C17/245;;C23C14/08;;C23C14/18;;C23C14/35,https://lens.org/199-071-481-739-151,8,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hoan_fruit_shears,asset_23f7b3be4bf0,WO 2009/091157 A2,020-817-018-186-133,FRUIT SHEARS,2009-07-23,2008-01-16,"KO, Mu-Hoan",,,WO,A2,PENDING,A01D46/247;;A01G3/02;;A01D46/24;;A01G3/02,A01D46/24,https://lens.org/020-817-018-186-133,2,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
auto_hodosh_milton_portion_replaceable_toothbrush,asset_ffcaa9854d8e,WO 1993/007778 A1,104-423-506-641-696,TOOTHBRUSH WITH REPLACEABLE TIP PORTION,1993-04-29,1990-06-04,HODOSH MILTON;;HODOSH ALEX JAY;;HODOSH STEVEN HARRIS,,HODOSH MILTON;;HODOSH ALEX JAY;;HODOSH STEVEN HARRIS,WO,A1,PENDING,A46B7/04;;A46B2200/1066;;A46B7/04;;A46B2200/1066,A46B7/04,https://lens.org/104-423-506-641-696,3,deduped_family_selected_with_max_assets_policy,lens_patent_csv,false,0.8
